"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"AIR";"              ";"@J@@j";;"航空機";"Air Force";
"ARTILLERY";"        ";"@J@@j";;"砲兵";"Artillery Battlegroup";
"INFANTRY";"         ";"@J@@j";;"歩兵";"Air assault";
"SUPPORT";"          ";"@J@@j";;"支援";"Support Battlegroup";
"TANK";"             ";"@J@@j";;"戦車";"Armored Battlegroup";
"GER_FIN_01";"       ";"-J--j";;"アングロ-カナダ人達は逃げ出し始めている.ダンケルクの再来だ!";"The Anglo-Canadians are re-embarking. It is a second Dunkirk!";
"GER_FIN_02";"       ";"-J--j";;"アメリカ兵らはオマハで手酷く打ちのめされた,";"The Americans have been beaten off at Omaha,";
"GER_FIN_03";"       ";"-J--j";;"コタンタンに残った僅かな降下兵達も掃討されるだろう.";"only a few paratroopers remain to be mopped up in the Cotentin.";
"GER_FIN_04";"       ";"-J--j";;"連合国の侵攻は大西洋の壁を打ち破ることに失敗したのだ!";"The Allied invasion has failed to breach the Atlantic Wall!";
"GER_M01_01";"       ";"-J--j";;"6月6日の朝,待ちに待ったアングロ-アメリカンのフランス進攻がついに始まった.";"On the morning of June 6th, the long-awaited Anglo-American invasion in France finally began.";
"GER_M01_02";"       ";"-J--j";;"スターリンに急かされ,西側連合国は全戦力を投入してきた,ノルマンディの戦いに";"Spurred by Stalin's orders, the Western Allies have thrown all their forces into the battle in Normandy,";
"GER_M01_03";"       ";"-J--j";;"そこは我ら難攻不落の大西洋の壁があるところだ.";"where they have run right into our impregnable Atlantic Wall.";
"GER_M01_04";"       ";"-J--j";;"ロンメル陸軍元帥の指揮のもと,戦いの火蓋は切って落とされた.";"The battle is now engaged, under the command of Field Marshal Rommel.";
"GER_M01_05";"       ";"-J--j";;"アフリカ軍団の英雄こと砂漠の狐は注意深く古参の第21装甲師団を配置し";"The Desert Fox had placed his old 21. Panzer Division, the Heroes of the Afrika Korps, on alert,";
"GER_M01_06";"       ";"-J--j";;"侵攻が始まると直ぐにカーン北部の英軍に対する反撃に彼らを解き放つ!";"and unleashed them in a counter-attack against the British, North of Caen, in the very first hours of the Invasion!";
"GER_M01_07";"       ";"-J--j";;"侵攻が始まりました, ハイル少佐,";"The invasion has begun, Herr Major,";
"GER_M01_08";"       ";"-J--j";;"ロンメル陸軍元帥は,Bavariaからの帰途にあり,既に反撃作戦を計画しております.";"Field Marshal Rommel is on the way back from Bavaria, and is already planning a counter-attack.";
"GER_M01_09";"       ";"-J--j";;"我々管轄区の侵攻部隊は英軍です:";"In our sector, the invaders are British:";
"GER_M01_10";"       ";"-J--j";;"リオン＝シュル＝メール(Lion-sur-Mer)に第3歩兵師団,ウイストルアム(Ouistreham)に特殊部隊.";"3rd Infantry Division at Lion-sur-Mer, commandos at Ouistreham.";
"GER_M01_11";"       ";"-J--j";;"もっと面倒なことに,夜間にアングロ-カナダ軍降下兵がオルネ川(Orne)東岸に降下したとの多くの報告があります.";"More troubling are the many reports of Anglo-Canadian paratroopers being dropped during the night, East of the Orne river.";
"GER_M01_12";"       ";"-J--j";;"彼らは,ベヌヴィル(Benouville)の,オルネ川(Orne)に掛かっている最後の橋を支配下とし,";"They have taken control of the last bridges standing over it, at Bénouville,";
"GER_M01_13";"       ";"-J--j";;"その結果,侵攻軍側面に向かう,我ら装甲予備師団の移動が妨げられております.";"thus preventing any movement from our Reserve Panzer Divisions against the invasion's flank.";
"GER_M01_14";"       ";"-J--j";;"フォン・ルック少佐隷下のカンプフグルッペは,彼らと交戦すべく前進しており";"Major von Luck’s Kampfgruppe is advancing to engage them";
"GER_M01_15";"       ";"-J--j";;"オベルスト・オッペルン隷下のカンプフグルッペは,午後遅くまでに彼らを支援することを要求されています.";"with Oberst Oppeln's Panzers being expected to reinforce him later this afternoon.";
"GER_M01_16";"       ";"-J--j";;"我らのカンプフグルッペは,最も降下地点に近く,突出した位置にいます.";"Our Kampfgruppe is in the most advanced position and closest to the landing zone.";
"GER_M01_17";"       ";"-J--j";;"敵橋頭堡の拡張を,食い止めることが出来るのは,我らのみです.";"We are the only ones at hand able to hold back the expansion of the enemy beachhead.";
"GER_M01_18";"       ";"-J--j";;"英軍は装甲車両の支援を受け共に内陸へ移動中.";"British troops are moving inland with armoured support.";
"GER_M01_19";"       ";"-J--j";;"彼らはベヌヴィル橋(Benouville)で,降下兵との合流と増強を目論んでいます.";"They are trying to link up with and reinforce their paratroopers at Bénouville bridge.";
"GER_M01_20";"       ";"-J--j";;"我々への命令は,いかなる犠牲を払ってでも,合流を防ぐことであります.";"Our orders are to prevent that link-up at all costs.";
"GER_M01_21";"       ";"-J--j";;"もし失敗すれば,我らは降下兵を全滅させてでも橋を奪還するという試練に,運命づけられるでしょう.";"Failure to do so will doom any attempt at wiping out the paratroopers and recapturing the bridge.";
"GER_M01_22";"       ";"-J--j";;"第736擲弾兵連隊の戦闘群は,まだウイストルアム(Ouistreham)を維持しています.";"A battlegroup from 736. Grenadier-Regiment is still holding in Ouistreham.";
"GER_M01_23";"       ";"-J--j";;"彼らは,水陸両用戦車の支援を受けた特殊部隊によって包囲されており";"They are besieged by Allied commandos supported by amphibious tanks.";
"GER_M01_24";"       ";"-J--j";;"指揮官や補給物資に恵まれず,長くは持たないと思われます";"Deprived of leadership or supplies, they won’t hold much longer.";
"GER_M01_25";"       ";"-J--j";;"もし我らが前線を伸ばし,彼らを攻撃から救い出せば,";"If we could stretch our line and help them repel the assault,";
"GER_M01_26";"       ";"-J--j";;"我らは,今後の任務のために,多くの兵を残しておくことが出来るだろう.";"we would save a good number of men to bolster our ranks for future operations.";
"GER_M02_01";"       ";"-J--j";;"我らの遅滞行動は,第736擲弾兵連隊に十分な時間を与えることになり";"Our delaying action has given the 736. Grenadier-Regiment enough time";
"GER_M02_02";"       ";"-J--j";;"内陸部に防衛線を再確立し,我ら";"to re-establish a line of defence inland,";
"GER_M02_03";"       ";"-J--j";;"カンプフグルッペと予備役との再編成を可能にした.";"allowing our Kampfgruppe to regroup in reserve.";
"GER_M02_04";"       ";"-J--j";;"しかし,オルネ川東岸のフォン・ルック少佐の状況は芳しくない.";"But Major von Luck’s situation East of the Orne isn’t going as well.";
"GER_M02_05";"       ";"-J--j";;"彼の反撃は行き詰まっていて,";"His counter-attack has stalled,";
"GER_M02_06";"       ";"-J--j";;"迫り来る空挺部隊からの圧力が増している状況に気がついている.";"And he is finding himself under increasing pressure from incoming paratroopers.";
"GER_M02_07";"       ";"-J--j";;"オベルスト・オッペルンの移動は,連合軍の爆撃とレジスタンスによる妨害工作により妨げられ;";"Oberst Oppeln’s movements have been heavily hampered by allied bombings and Resistance sabotage;";
"GER_M02_08";"       ";"-J--j";;"ほんの一握りの戦車だけが集合地点に到着できた;";"only a handful of his Panzers have been able to reach their assembly area;";
"GER_M02_09";"       ";"-J--j";;"残りの部隊は,未だカーンの南で遅れており.";"the rest are still delayed South of Caen.";
"GER_M02_10";"       ";"-J--j";;"彼らの存在は必要不可欠だ.";"It befalls to us to remedy their absence.";
"GER_M02_11";"       ";"-J--j";;"我らへの命令は,オルネ川東岸へ移動し,フォン・ルック少佐が再び始める攻撃を支援すること.";"Our orders are to move East of the Orne and support Major von Luck’s renewed offensive.";
"GER_M02_12";"       ";"-J--j";;"作戦目標は同じく: ベヌヴィル(Benouville)橋を奪還せよ!";"The objective remains the same: recapture the bridges at Bénouville!";
"GER_M02_13";"       ";"-J--j";;"英軍空挺部隊は,オルネ橋(orne)に通じる道を断固として守っている..";"British paratroopers are stubbornly defending every access to the Orne bridges.";
"GER_M02_14";"       ";"-J--j";;"彼らは軽装備であるが";"They are lightly equipped,";
"GER_M02_15";"       ";"-J--j";;"橋の守備隊から鹵獲したPaK-40sを我々に向けている.";"although they have salvaged and turned against us one of our PaK-40s from the bridge’s garrison.";
"GER_M02_16";"       ";"-J--j";;"更に,今朝方,我らの防衛戦を辛うじてすり抜けた部隊が";"Besides, any unit which managed to slip through our net this morning";
"GER_M02_17";"       ";"-J--j";;"彼らと合流することが予想される.";"can be expected to have reinforced them.";
"GER_M02_18";"       ";"-J--j";;"時が経つ毎に,英軍は増援を受け取り,";"With each passing hour, the British are receiving reinforcements,";
"GER_M02_19";"       ";"-J--j";;"フォン・ルック少佐の兵達は,まさに複数の空挺軽戦車と対峙する.";"Major von Luck’s men have even encountered some light airborne tanks.";
"GER_M02_20";"       ";"-J--j";;"砲兵部隊はもとより,我らにも有用な味方の偵察大隊は,";"Our own reconnaissance battalion has reinforced us, as well as some artillery elements,";
"GER_M02_21";"       ";"-J--j";;"英軍特殊部隊が苦労しつつもオルネ川東岸に到達した事を報告してきた.";"but reports indicate that British commandos have managed to take foot East of the Orne";
"GER_M02_22";"       ";"-J--j";;"彼らは,空挺部隊を救うため,戦車の支援を受けつつ橋に向かって移動している.";"and are moving with some tank support towards the bridge to relieve the paratroopers.";
"GER_M02_23";"       ";"-J--j";;"ここでは,スピードが要です, ハイル少佐.";"Speed is of the essence here, Herr Major.";
"GER_M02_24";"       ";"-J--j";;"橋を確保するのが遅くなるほど,敵の抵抗はより強くなるでしょう.";"The longer it takes to secure the bridge, the stronger the enemy resistance will become.";
"GER_M03_01";"       ";"-J--j";;"降下及び特殊部隊は,橋の放棄を余儀なくされ後退している.";"Paratroopers and commandos have been forced to surrender the bridge and fall back.";
"GER_M03_02";"       ";"-J--j";;"フォン・ルック少佐は追撃中である";"Major von Luck is in pursuit";
"GER_M03_03";"       ";"-J--j";;"その間,第346歩兵師団は夜陰に乗じて,このセクターを占拠しようと急いでいる.";"while 346. Infantry Division is being rushed to take over this sector under cover of the night.";
"GER_M03_04";"       ";"-J--j";;"第21装甲師団の残存兵は,";"As for the rest of our 21. Panzer,";
"GER_M03_05";"       ";"-J--j";;"英国空挺部隊相手に,うまくいかないようだ.";"we do not seem to be done with British airborne troops.";
"GER_M03_06";"       ";"-J--j";;"昨日の日没前";"Before sunset yesterday,";
"GER_M03_07";"       ";"-J--j";;"降下部隊の第二派がグライダーで第736擲弾兵連隊の管轄区に降下した.";"a second airborne wave landed by gliders in the 736. Grenadier-Regiment’s sector.";
"GER_M03_08";"       ";"-J--j";;"海岸からの侵攻主力との挟撃に遭い736部隊は崩壊した.";"Combined with a major advance from the beach, the 736. has disintegrated.";
"GER_M03_09";"       ";"-J--j";;"カーンへの道が,連合軍に大きく開かれている!";"The way to Caen is wide open to the Allies!";
"GER_M03_10";"       ";"-J--j";;"我らへの命令は,西岸に戻り";"Our orders are to move back on the Western bank,";
"GER_M03_11";"       ";"-J--j";;"オベルスト・アッペルンより供出された部隊と合流し";"taking with us any advanced elements from Oberst Oppeln’s battlegroup,";
"GER_M03_12";"       ";"-J--j";;"連合軍の侵攻の機先を制する古来よりのやり方で突撃する.";"and charge the old way to forestall the Allies’ own push forward.";
"GER_M03_13";"       ";"-J--j";;"我らの作戦目標は,リオン＝シュル＝メール(Lion-sur-Mer)に達し,";"Our objective is to reach Lion-sur-Mer,";
