"PROJECT";"DICO";"TOKEN";"REFTEXT";"ID"
"COMMON";"EarlyLocalisation.cpp";"0";"Error";"329a377b:453ba64d:ddeaa1a0:18176ca2"
"COMMON";"EarlyLocalisation.cpp";"1";"Fatal Error";"788cd325:4c56c34e:41fc7197:1d8c6973"
"COMMON";"EarlyLocalisation.cpp";"2";"Corrupted installation detected. Please verify the game cache integrity or reinstall.";"e2a283a9:4890ea92:3a0987a5:8d9b417b"
"COMMON";"EarlyLocalisation.cpp";"3";"You have not purchased this game.";"8c3e978e:49de7fee:d873ba95:d2d57abc"
"COMMON";"EarlyLocalisation.cpp";"4";"Game did not terminate properly. Do you want to load the last known good configuration ?";"9667fea1:4965926b:d4685693:bb26939e"
"COMMON";"EarlyLocalisation.cpp";"5";"Game did not terminate properly.";"534b7888:4c775c19:d1ce40a4:6c13d3f9"
"COMMON";"EarlyLocalisation.cpp";"6";"Unable to reset the last known good configuration file, do you want to set up the default configuration?";"3e6038af:4908c3ca:6be7499a:c68b302c"
"COMMON";"EarlyLocalisation.cpp";"7";"Connection to Steam client failed.";"5675f4e1:49be0ea9:ed24c9ab:22e7831c"
"COMMON";"EarlyLocalisation.cpp";"8";"Game requires Windows 7 or later to run.";"17d003c9:483d8f34:76f28298:d5b9092c"
"COMMON";"EarlyLocalisation.cpp";"9";"Checking operating system";"2303b7c7:4349143d:e546469a:651e5e46"
"COMMON";"EarlyLocalisation.cpp";"A";"Game requires Windows 7 SP1, please update Windows.";"73ef6064:414c2c72:d42de0ac:d5dd073a"
"COMMON";"EarlyLocalisation.cpp";"B";"Only one instance of game can be launched at a time. Make sure the game is not running in the background or reboot the machine.";"9e3355d0:4efceecb:4a1072ac:3239b553"
"COMMON";"EarlyLocalisation.cpp";"C";"A problem occurred while opening the video. Please install Windows Media 9 codec or later.";"7de6060b:43ab63af:168f7981:86c8cba5"
"COMMON";"EarlyLocalisation.cpp";"D";"WMV decoding error";"919eaaeb:48e2176e:53cbf7a0:bf80c18f"
"COMMON";"EarlyLocalisation.cpp";"E";"WMVCore.dll not found! Videos will not be played.\nFor more informations, please visit the technical forum.";"90fdf4ce:42d3bafb:bf08bcba:99c2c157"
"COMMON";"EarlyLocalisation.cpp";"F";"Some datas are missing, you should reinstall the game or its last content.";"b76767f8:40aafa05:2b1079a5:dffdb2ab"
"COMMON";"EarlyLocalisation.cpp";"G";"Unable to access graphic device, your hardware or Direct3D configuration is incompatible with this game.\n\nReason:\n";"58c3cfd4:4692cb7b:0c0708a5:e1f89afc"
"COMMON";"EarlyLocalisation.cpp";"H";"Critical graphic error";"cd78d846:4c4a023b:6eb1488e:f13ac136"
"COMMON";"EarlyLocalisation.cpp";"I";"Other processus (Steam.exe) has crashed. The game will now exit.";"23e6a7a3:44b22d51:dc18e88a:bd79f436"
"COMMON";"EarlyLocalisation.cpp";"J";"XAudio_2_7.dll is missing";"f348ffae:4e9fcff1:95154ab4:b918c7db"
"COMMON";"EarlyLocalisation.cpp";"K";"XAudio_2_7.dll is missing, sound will not be available.\nPlease install DirectX June 2010 Redistributable.";"e189fc6b:4e2d984d:eff663a4:db41d2ed"
"COMMON";"EarlyLocalisation.cpp";"L";"Game did not terminate properly. Do you want to disable all mods to avoid interferences ?";"4f5b5286:48572d74:3a0e1585:ad21ba9e"
"COMMON";"EarlyLocalisation.cpp";"M";"Game need a GPU supporting at least DirectX 10_1 level feature.\nCheck your GPU capabilities and DirectX version.";"2db6277d:411eb7c3:43c9c8ac:6097e06b"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"BACK";"Backspace";"c89e9959:4c244547:e96c7a90:6066e995"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"CAPITAL";"Capital";"717e4dba:4f390014:d0e1cd8e:109cb5ab"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"CAPSLOCK";"Caps Lock";"bbd22872:4aa5437c:524494a8:469884c2"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"DEL";"Delete";"6c8ea18f:45232357:5c3d4a88:73c4d731"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"DOWN";"Down";"c8f7c0db:4c517d89:1f6bb4b3:ec858f25"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"END";"End";"74b582f7:45305768:9b43f29d:b9b3f13e"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"ENTER";"Return";"5b56731d:41250e38:1af5fb8e:dbdc2e86"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"ESC";"Esc";"69214af4:43e0389d:4a06c380:242ee875"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F1";"F1";"dedbad7b:489fa54e:bd5ed9b8:773fc685"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F10";"F10";"863b1441:44b505f9:3a7089a2:716e796c"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F11";"F11";"222e4ae9:4729b918:1f697086:d319f102"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F12";"F12";"acd93dc2:48569970:6dd31e91:c0384c4b"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F2";"F2";"5d5dd28c:43cc0026:27c23599:ca93748a"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F3";"F3";"8dcc94af:4d6d0f0d:576c0296:6fd78b11"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F4";"F4";"f0bd66f7:44d4a7bd:a00118bb:08f69d28"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F5";"F5";"059e9aca:4c364fe1:db91129e:106003a2"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F6";"F6";"30297c6a:41a31c01:f4e6238f:2a06b8e5"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F7";"F7";"b1f8b6e5:4ceaf75a:157716aa:2f7e80d2"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F8";"F8";"9e413319:4ff7dc6c:2ed9278f:28428ee8"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"F9";"F9";"4b6e2d96:40fe6ed1:a9ab7182:e5e2708e"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"HOME";"Home";"556efa9b:49e92064:b3bdb18f:d3ba49ad"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"INS";"Insert";"14e209f0:4b55f751:c121f3ac:a50906ac"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"LALT";"Alt";"856f3943:42714580:ab4ca798:c2f770aa"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"LCTRL";"Left Control";"33f657ea:4195e3c4:f8d31380:2830d10d"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"LEFT";"Left";"17f1edce:4b709467:88e5ba94:2c1619ca"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"LSHIFT";"Left Shift";"b068ff1a:4bf69c68:ab0006bd:14122fba"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"NUMLOCK";"Num Lock";"02ebad6b:4f402305:8960dcb3:9079c948"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"PAGEDOWN";"Page Down";"39d390f5:444d9a69:21346093:16a51073"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"PAGEUP";"Page Up";"a3f06dfa:4865e680:0490a08a:06966108"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"PAUSE";"Pause";"63af60d1:499449ea:ff888689:d02c1249"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"PRNSCR";"Print Screen";"42b09a02:4c6d298c:b27ad389:d12d27fc"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"RALT";"AltGr";"3d836181:411d001d:4fcc0bb9:ee8e835d"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"RCTRL";"Right Control";"881455d9:4d36989a:5c53e895:7f1da273"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"RIGHT";"Right";"f6a04249:4fe10dc4:80bbf1bc:92ea967a"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"RSHIFT";"Right Shift";"21676815:465ad67f:d8e3aa89:e685fc6b"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"SCROLL";"Scroll Lock";"352f5662:4e901edf:72565f91:c37a2713"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"SPACE";"Space";"b1dfbc76:42b7a6c2:a6347b91:491df458"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"TAB";"Tab";"81e8ad82:48a4f456:434bcc91:f74b991b"
"WARGAME";"CommonData:\Localisation\INPUT.csv";"UP";"Up";"a6f9032c:467690a6:f1fdd3bd:d0971cfb"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"1";"Adam";"5c486bda:471f085d:836d708d:b5cdf9c1"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"10";"Asselin";"14b74190:4019e443:6e104281:5be0cc36"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"100";"Dhaliwal";"22b249b3:4069866d:76723883:45049839"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"101";"Dickson";"1959b1be:41b5b9ef:7d9eccaa:f27f0aef"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"102";"Diefenbaker";"5c9beffa:4507546b:e0f0709a:98e3a8a5"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"103";"Dixon";"b49a2de5:48e68efd:04b5c5a2:7a33cc19"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"104";"Doiron";"66706db4:4b638efe:4f2561bd:6f6102e1"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"105";"Donnelly";"6fe7a3b4:48d71af6:5e49858b:ecfae60d"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"106";"Donovan";"088013a6:494960dc:80d39dbb:45d79b1f"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"107";"Douglas";"cdbb7131:40c7af63:7253ff8f:5b0634f4"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"108";"Doyle";"02e5c42b:4a9a8d2c:96d9018f:e7bffc37"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"109";"Doyon";"008884e5:4900914d:1df120a7:711c3ef2"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"11";"Aubin";"9a94de85:40fda3bb:05a4bcaa:fd999ab6"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"110";"Drapeau";"f1ebb3d2:48f7153b:d1b3d499:6b5b9c5f"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"111";"Drouin";"17ee02a9:4c238a73:dc993b9a:711feac4"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"112";"Dubois";"9d22c061:4c4fcac2:7f0a7ab0:4ce89e31"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"113";"Ducharme";"79cad798:43182c3a:140677be:673a7cb4"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"114";"Dufour";"7e8ccc8c:407b73b8:cb65d9b6:4f58e388"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"115";"Dumas";"689e17ba:4bf4fd66:d90e0287:bd4f6a50"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"116";"Dumont";"10d7d6df:49a77139:5eed5794:1318ab18"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"117";"Duncan";"f7eb8206:41d827cd:d673c5b0:faca3dc7"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"118";"Dupont";"12167645:46c68061:7369e284:d53d71ae"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"119";"Duquette";"850ae7e3:49827260:f572e2a5:399b2357"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"12";"Audet";"3634debd:4a54c031:33ee3cba:75bf0cb5"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"120";"Dussault";"dddb56c3:4bd16503:7051a589:6d2d483b"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"121";"Duval";"998ae204:45f44631:d865279c:47e95f4f"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"122";"Edwards";"7e52c9d1:4b68c5bb:cfbc9398:687cd784"
"WARGAME";"GameData:\GamePlay\Unit\Names\UNITNAMES_CAN.csv";"123";"Ellis";"2f57ce2b:4f540f0d:5a0b0c9e:0b99439a"
