"ID";"REFTEXT";"COMMENT";"CONTEXT";"CONSTRAINT";"DO NOT TRANSLATE"
"0002e6fc:4d54eb90:e2fe74ae:5c3ac6d9";"Hint entete description 116th Infantry Regiment";;;;"DO NOT TRANSLATE"
"0006c6b3:4407440d:0b064ebd:d71eed0f";"Zhu";;;;"DO NOT TRANSLATE"
"000841ef:40d771ab:4fcdb683:ffedf956";"Zheng";;;;"DO NOT TRANSLATE"
"0008506d:44ac945b:e7c2c6ae:7df5b755";"Rice";;;;"DO NOT TRANSLATE"
"00128e22:4c02c043:3826578e:f35dc455";"CUSTOM GAME";"Create or join a custom multiplayer game";;;
"0015c3c5:4cf75126:3b1c54b0:b79b1883";"CIO";;;;
"0017f70b:4cd6270d:6d4ac4bd:ebf0ec7d";"The enemy will soon arrive from the Sainte-Mère-Eglise road.";;;;
"001f646f:4cab29f2:cd4436aa:ecced415";"Iszezuk";;;;"DO NOT TRANSLATE"
"00200005:4a92be9f:b8dd6eba:e70c7cc8";;;"Hint body for the cancel button in the lobby";;
"0021a42b:466b89e8:5c87f9ac:c848ba4c";"Koptelov";;;;"DO NOT TRANSLATE"
"00222ba4:4c838c4c:07f6e6a0:a5cc3f1b";"Click to open your BATTLEGROUP LIST.";;"Hint body for the decks button in the lobby";;
"002378f7:4681e5c2:17798a96:e826ac28";"HOLD NORTHERN CROSSROAD (%s)";;;;
"002d259f:49b29698:64a81d95:03464893";"Rumble";"Gameplay settings on My options menu";"Option Panel";;
"002d8341:42c43116:279bf8a4:4099f2de";"Entski";;;;"DO NOT TRANSLATE"
"002f587e:45bb55da:8cb4fb91:a1f2dfe2";"RESTART";;"Hint title for the restart button in the escape screen";;
"0034e8a7:4ff078e5:fed99782:d6c2ef1e";"Click NEXT to compose your BATTLEGROUP.";;"The officer is introducing the User Interface to the Player";;
"003a1315:49f31f6f:5965e297:730281cf";"Order the artillery to fire precisely at the chosen position.";;"selection order panel - MAX 13 CHARACTERS";"13";
"003fcf67:45ab46c1:b16f52bb:c619f016";"\n Sir Colin,\n\n It is your 46th (Highland) Infantry Brigade's honour to lead the way for Operation Epsom.\n\nYour primary objective is not only to take the village of Cheux, but more importantly to hold it. It is vital that Cheux remains in our hands in order for Epsom to proceed according to plan.\n\nThe 31st Tank Brigade will be supporting your attack, but it lacks infantry: protect them with some of your own to make sure they reach the objective quickly and provide you with all the support they can.\n\n--------------\nMAIN OBJECTIVE\nTake & hold Cheux.";;;;
"003ffcb8:4764f7b4:6a523ebf:467d3543";"Poulsen";;;;"DO NOT TRANSLATE"
"004327f6:4868f79e:dccfaa91:d4a6b8a6";"Krogstad";;;;"DO NOT TRANSLATE"
"004716f5:4829d861:879ccbb0:d792a550";"#Arialbold{Rangers lead the way} covers the American rescue attempt to relieve the besieged Rangers at Pointe du Hoc on D-Day +1.\n\nAfter performing their famous cliffs climbing in the face of the enemy, considered by many as a suicide operation, two companies from 2nd Ranger Batallion at Pointe du Hoc became out of touch with the rest of the invasion army. Considered dead by most, it was not until the next day that a relief column moved from Omaha to secure the position and save what could be of the assault force.\n\nWhen learning that the place had been captured and was still in friendly hands, the American column started what their German opponents dubbed « the Crazy March », for it didn't slowed its pace even when fighting !";;;;
"004ac338:4c42d514:269a4fbe:eba39432";"JEEP";;;;"DO NOT TRANSLATE"
"004f51b4:4a226f6b:415f6db5:f14ee8b0";"Do you really want to restart the mission?";"Alert message asking confirmation when about to restart a mission";;;
"004f61c5:4652e495:700303ba:ea370dd2";"Julien";;;;"DO NOT TRANSLATE"
"0050f70b:4df0468f:7b796c85:5d85061c";"Sang";;;;"DO NOT TRANSLATE"
"00534be1:4856f93c:3372f1bb:3eea6303";"Sanford";;;;"DO NOT TRANSLATE"
"0054b8d0:45b8b251:770e65ad:82a22d1c";"Giraud";;;;"DO NOT TRANSLATE"
"00611e3b:44706913:413a279a:1287d948";"von Schoenberg";;;;"DO NOT TRANSLATE"
"00614c68:40738123:c6058591:10679f76";"Rogers";;;;"DO NOT TRANSLATE"
"0062a051:44b33eac:132ec3ac:124a0066";"TAKE BACK CAHAGNES (%s)";;;;
"006a72eb:4b38780f:b03792be:05e80218";"Filters";;"Button for filters in the deck selection screen - MAX 11 CHARACTERS";"11";
"006e79e0:41d80e54:036a2987:4902a6bd";"PREPARE AN AMBUSH (%s)";;;;
"0070c4a4:4bb6bcd1:7eea6f8a:67ea8875";"Off-Map Artillery\nA beacon must be placed where the salvo should be fired.";;;;
"0077b94c:4b4bdc8a:b9a909bf:eb66afde";"Lw-GRW. 120Mm";;;;"DO NOT TRANSLATE"
"007b2af0:4ab5e185:93c8c396:145c1f7e";"_DEPREC";;;;"DO NOT TRANSLATE"
"007da9d2:43152ac5:08b12881:fbb9ab51";"La CIA estime que les rivalités internes à Moscou peuvent aussi bien profiter aux faucons qu'aux colombes. Devons-nous envoyer des signaux aux soviétiques pour tenter d'influencer telle ou telle faction ?";;;;"DO NOT TRANSLATE"
"0080db98:4ff1dfb0:5765a6aa:428d3337";"2-in MORTAR";;;;"DO NOT TRANSLATE"
"008435a3:4f1bc208:55dedb8f:824c5ada";"No units have been deployed! Please pick a unit in the #coloredtext4{REQUISITION MENU} to position the unit on the battlefield.";;"The officer is explaining the situation to the Player";;
"008884e5:4900914d:1df120a7:711c3ef2";"Doyon";;;;"DO NOT TRANSLATE"
"00897618:4a898112:824b5e9a:6eb0df4a";"#JAP #ROK BLUE DRAGONS";;;;
"008ab6ba:470e6c7f:d5b1dd80:744ede75";"Phillipson";;;;"DO NOT TRANSLATE"
"0091d280:4f853812:747eec88:dbbf176b";"Kjær";;;;"DO NOT TRANSLATE"
"00a2cc64:484417cd:eafef7b2:ac79a7c8";"Sir, the Germans are coming with tanks and armoured support; we should place some AT guns to deal with them.";;"Aide is warning the Player - Tone is warning";;
"00a55e9d:4dd69e50:4ec006bc:81d52f1b";"June 22nd-27th, 1987. Within a few hours, the first lines of defense are overwhelmed.\nWithin a few days, the battered US & ROK units are pushed back to a last perimeter around the vital harbor of Busan …";;;;"DO NOT TRANSLATE"
"00b1bbb4:4df97cd6:e9de91b5:5b13afcb";"Select the player from whose point of view you want to watch the replay unfold.";;"Hint body for the the select point of view dropdown list button in the replay composant";;
"00b80706:409af649:308bdca9:0aaffc8b";"Although still a formidable fighting machine, the once most dreaded SS division is showing signs of wear. Elite troopers from the Eastern front are still there in numbers, but more and more unwilling Volksdeutschen have been pressed into its ranks to make up for its previous losses. Equipment is heterogeneous : state-of-the-art Pumas & Panthers, more Panzer IV (although mostly of the downgraded J variant) & Flak 88mm than other armored divisions in Normandy … Yet, rushed to the front while in the process of rearming, it misses many items, such as 75mm fire support half-track, 37mm AA guns or half its armoured scouts. LAH's specific feature is to have a StuG-Abteilung acting as a Panzerjäger one, meaning less AT guns but StuGs to be selected in the AT category, hence in addition to tanks (with which they are not competing for slots).";;;;
"00bb478b:4d178ce3:6900f8a4:90bc84bb";"The situation is improving, sir.";;"An officer is explaining the military situation to the player - Tone is military and satisfied";;
"00bbe2e4:488dfe0b:48d73484:12966a47";"Greenleaf";;;;"DO NOT TRANSLATE"
"00bd9dbf:42107e3d:869a15bd:717625c5";"Text Presentation scen4";;;;
"00bdf6e4:40c8eb3c:834840a7:e1a3e956";"Jamieson";;;;"DO NOT TRANSLATE"
"00be4a87:49b05621:f2d38d94:1676dc60";"Game & Level Designers";;;;
"00c66884:48dcd6b9:9c37fb98:ca6cd602";"Morávek";;;;"DO NOT TRANSLATE"
"00c91ebb:4d8baa2d:00bcbcbf:cfb654ee";"9. Panzer went into combat in Normandy piecemeal and while still in the process of re-completing men & equipment. Some of its men were even still fighting in the East, only leaving Russia to join the fight in Normandy in mid-Summer. \nAlthough missing its Panther battalion and still fighting with old equipment, the 9. Panzer relies on battle-hardened troops and an unusually high number of light tanks to quickly blind and overwhelm the enemy.\nAnd with each passing phase, more experienced troops are made available, arriving straight from the East.";;;;
"00cb9340:45465a9f:a8f39491:eaafd8e3";"Mort mystérieuse de Grigory Romanov";;;;"DO NOT TRANSLATE"
"00d0e853:4de70ba9:bb5a52ab:a111deb2";"Ingebriktsson";;;;"DO NOT TRANSLATE"
"00db84ff:4aa62a35:104bcb92:1236e17d";"HIDE INFO";;"11";;
"00dbe0ad:4b90095b:1f0fa392:2592be73";"Taylor";;;;"DO NOT TRANSLATE"
"00def187:4438a633:ad11e39f:c69858f7";"13,2mm";;;;"DO NOT TRANSLATE"
"00e2110d:42da2e3e:e1b56a91:6aa70dc5";;"NEW_ACHIEVEMENT_2_0_NAME";"Name of an achievement to unlock";;
"00e23ea8:4e8efddf:470a1190:77584023";"Hernandez";;;;"DO NOT TRANSLATE"
"00e41827:40b0b4d6:6984fb88:1babea4e";"Naastad";;;;"DO NOT TRANSLATE"
"00e508c6:4b08bbcf:aadd248a:fb15c86d";"The tanks still aren't through, sir. The longer they're stuck here, the fewer will be able to reach Sainte-Mère on time.";;;;
"00eb6dca:42cc651b:0b3fdea9:2eb9128d";"Rada";;;;"DO NOT TRANSLATE"
"00f2c596:4490918f:2a78ccad:2b36b41f";"They know they have to reduce our salient before we insert more troops,";;"An officer is explaining the military situation to the player - Tone is military and informative";;
"00f5a8f2:49275d68:a57e5e8a:6ec26db8";"May";;"Month choice in modal window";;
"00f6a775:42126d1f:8bcab291:6a9368b4";"Rovlund";;;;"DO NOT TRANSLATE"
"00ffc822:4f73be2a:92ca0b99:3f7c48a8";"To CAEN";;;;
"01048e11:4795b4c7:6ec75f8a:6c921f8a";"Details...";"Button which lead to the Store in DLC related windows";"button of modal window";;
"01090668:463e143a:e7c4e2b2:bdc0258d";"DEFENDER";;;;"DO NOT TRANSLATE"
"010b9d0c:4ac078b1:757edab1:2ced16ef";"OLGA";;"Zone name PACT";;"DO NOT TRANSLATE"
"011001a8:4ff05ea0:5897689d:2dbacda0";"Sk 18";;;;"DO NOT TRANSLATE"
"01112b4e:4b030e7a:76f34498:4751ce8f";"Yáo";;;;"DO NOT TRANSLATE"
"01112dfb:4d644a1b:81bb919d:9b529852";"Sticky until order";"Option Value 2";"Option Panel";;
"0112b824:49c3d7e8:56966caf:cb2014b5";"2-in MOŹDZIERZ SP";;;"26";"DO NOT TRANSLATE"
"011840fb:4d33129b:898d0eae:94c04ace";"\n\nCongratulations Cadet,\n\You are now commissioned in the following fields:\n\n  * Battlegroup composition\n  * Deployment phase\n  * Pre-battle planification\n  * Troops transport and disembarkation";;;;
"011963a6:426c5f1b:01d0ddad:a7faacbc";"Screen space ambient occlusion (advanced lighintg effect).";"Option hint";"Option Panel";;
"011d5e82:428d2142:da81b18f:f23a9368";"Ready";;"Weapon State";;
"011d73e5:49bee0fb:bb6c36b7:24a19f00";"WARNING SHOT";;"selection order panel - MAX 13 CHARACTERS";"13";
"0122cb05:4b4f32ec:c0590c8f:0659d7c8";"Barley";;;;"DO NOT TRANSLATE"
"0123cb3b:42b7c927:7a1dd4bf:0a411f01";"Cameroon";;"Country name choice during account creation";;
"0124ee10:40078f83:c2fe38ba:81f0c126";"PAK 37 47mm";;;;"DO NOT TRANSLATE"
"012c4a1f:4b1de716:841d78ae:6ef886f6";"Complete the historical mission 'Rangers Lead The Way'";;"Description RLTW";;
"012d0bbb:4d5d1415:11163695:cb628d2a";"Faucher";;;;"DO NOT TRANSLATE"
"012fd8b1:4fb21af2:79e366aa:935fe7d0";"Opération Polyarnaya Slava";;;;"DO NOT TRANSLATE"
"013049e0:451c18cf:cb7fdcad:8418d8e2";"Hetman";;;;"DO NOT TRANSLATE"
"01317d24:400875b4:f05ead86:ab003143";"Lam";;;;"DO NOT TRANSLATE"
"01325c97:455533c6:489ee7b9:c09f4a6f";"With elite infantry supported by airborne light tanks and naval artillery, 6th Airborne owns Phase A.\nBut from Phase B, it must hold the conquered ground with its 17-pdr and air support.";;;;
"01334296:480dad2d:2af2e8b3:2fad9622";"Kicked by the server because your computer is too slow to play this game.";;"Message of modal window";;
"01342de7:43f7ddf5:75b6a89e:217a6d9e";"Quinn";;;;"DO NOT TRANSLATE"
"01343abf:4f68e8f1:64c16497:11dcf1c4";"Occupy (200 pts)";;;;
"013791fc:467dbece:0011a3a3:d56f091a";"We seem to have landed at the boundaries between our 82nd & the 101st,";;"An officer is explaining the military situation to the player - Tone is military and informative";;
"0139a7f7:4b18c832:de56f699:9cf28089";"Emura";;;;"DO NOT TRANSLATE"
"013fddc9:4411bca3:cbc4f19c:c08e4a2b";"Öhrström";;;;"DO NOT TRANSLATE"
"01498b6b:45126723:a063dfa1:066eccf1";"Vlk";;;;"DO NOT TRANSLATE"
"0149a8d0:46bfc12b:3cef809f:ab79269f";"Abramov";;;;"DO NOT TRANSLATE"
"014f0313:4d56615f:a9dea4a3:b7b4455c";"Recon: Vehicule";"titre";;;
"014f877a:470a54ec:d6fdc58a:320b951e";"Cochrane";;;;"DO NOT TRANSLATE"
"014fcdbf:47bd8848:d763cf8b:fb4fff4f";"D'après plusieurs sources, Grigory Romanov, l'un des membres du triumvirat qui a pris le pouvoir à la mort de Tchernenko, serait décédé dans des conditions troubles. Une nouvelle lutte de pouvoir est prévisible et ses conséquences sur la guerre seront énormes.";;;;"DO NOT TRANSLATE"
"0150356e:416ead69:18595286:b3b175af";"Kristoffersen";;;;"DO NOT TRANSLATE"
"015768ea:431ef42e:76af80a0:537929bb";"POINTS TO REACH";;"name of game parameter";;
"016459fd:4a3077ca:4f1954b9:8a34190c";"Midoux";;;;"DO NOT TRANSLATE"
"016cbb71:479a2132:6582aebd:68d66531";"Milley";;;;"DO NOT TRANSLATE"
"0171e6bd:4c7271da:b0bbf9bd:e2d4eed8";"BÉNOUVILLE";;;;"DO NOT TRANSLATE"
"0175538e:41e2afa1:f4d1f098:412e8461";"Kyo";;;;"DO NOT TRANSLATE"
"017bda42:4a614ae6:f309dba9:0aa62292";"Indicates the readiness status of the off-map asset.";;;;
"017d6636:4ba7a23d:218a8c9e:08b7976e";"Arnesen";;;;"DO NOT TRANSLATE"
"017ece56:466a4c0a:907e10af:8a5f42fb";"Lovett";;;;"DO NOT TRANSLATE"
"017f252f:438f8c8c:7103d598:ed89b947";"D'après nos renseignements, le porte-avions Minsk, qui croise toujours en Mer de Chine, pourrait également être rappelé pour défendre son port d’attache.";;;;"DO NOT TRANSLATE"
"0185378c:4d6a235c:6a9efeb4:1545dc4c";"Lisowski";;;;"DO NOT TRANSLATE"
