"00128e22:4c02c043:3826578e:f35dc455";"US";"CUSTOM GAME";"CUSTOM GAME"
"0017f70b:4cd6270d:6d4ac4bd:ebf0ec7d";"US";"The enemy will soon arrive from the Sainte-Mère-Eglise road.";"The enemy will soon arrive from the Sainte-Mère-Eglise road."
"00200005:4a92be9f:b8dd6eba:e70c7cc8";"US";;
"00222ba4:4c838c4c:07f6e6a0:a5cc3f1b";"US";"Click to open your BATTLEGROUP LIST.";"Click to open your BATTLEGROUP LIST."
"002d259f:49b29698:64a81d95:03464893";"US";"Rumble";"Rumble"
"002f587e:45bb55da:8cb4fb91:a1f2dfe2";"US";"RESTART";"RESTART"
"003a1315:49f31f6f:5965e297:730281cf";"US";"Order the artillery to fire precisely at the chosen position.";"Order the artillery to fire precisely at the chosen position."
"003fcf67:45ab46c1:b16f52bb:c619f016";"US";"\n Sir Colin,\n\n It is your 46th (Highland) Infantry Brigade's honour to lead the way for Operation Epsom.\n\nYour primary objective is not only to take the village of Cheux, but more importantly to hold it. It is vital that Cheux remains in our hands in order for Epsom to proceed according to plan.\n\nThe 31st Tank Brigade will be supporting your attack, but it lacks infantry: protect them with some of your own to make sure they reach the objective quickly and provide you with all the support they can.\n\n--------------\nMAIN OBJECTIVE\nTake & hold Cheux.";"\n Sir Colin,\n\n It is your 46th (Highland) Infantry Brigade's honour to lead the way for Operation Epsom.\n\nYour primary objective is not only to take the village of Cheux, but more importantly to hold it. It is vital that Cheux remains in our hands in order for Epsom to proceed according to plan.\n\nThe 31st Tank Brigade will be supporting your attack, but it lacks infantry: protect them with some of your own to make sure they reach the objective quickly and provide you with all the support they can.\n\n--------------\nMAIN OBJECTIVE\nTake & hold Cheux."
"004f51b4:4a226f6b:415f6db5:f14ee8b0";"US";"Do you really want to restart the mission?";"Do you really want to restart the mission?"
"006e79e0:41d80e54:036a2987:4902a6bd";"US";"PREPARE AN AMBUSH (%s)";"PREPARE AN AMBUSH (%s)"
"0070c4a4:4bb6bcd1:7eea6f8a:67ea8875";"US";"Off-Map Artillery\nA beacon must be placed where the salvo should be fired.";"Off-Map Artillery\nA beacon must be placed where the salvo should be fired."
