"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"0";"                ";"-----";;"Error";;
"1";"                ";"@@@@@";;"Fatal Error";;
"2";"                ";"@@@@@";;"Corrupted installation detected. Please verify the game cache integrity or reinstall.";;
"3";"                ";"@@@@@";;"You have not purchased this game.";;
"4";"                ";"@@@p@";;"Game did not terminate properly. Do you want to load the last known good configuration?";;
"5";"                ";"@@@@@";;"Game did not terminate properly.";;
"6";"                ";"@@@@@";;"Unable to reset the last known good configuration file, do you want to set up the default configuration?";;
"7";"                ";"@@@@@";;"Connection to Steam client failed.";;
"8";"                ";"@@@@@";;"Game requires Windows 7 or later to run.";;
"9";"                ";"@@@@@";;"Checking operating system";;
"A";"                ";"-----";;"Game requires Windows 7 SP1, please update Windows.";;
"B";"                ";"-----";;"Only one instance of game can be launched at a time. Make sure the game is not running in the background or reboot the machine.";;
"C";"                ";"-----";;"A problem occurred while opening the video. Please install Windows Media 9 codec or later.";;
"D";"                ";"-----";;"WMV decoding error";;
"E";"                ";"---p-";;"WMVCore.dll not found! Videos will not be played.\nFor more information, please visit the technical forum.";;
"F";"                ";"-----";;"Some datas are missing, you should reinstall the game or its last content.";;
"G";"                ";"-----";;"Unable to access graphic device, your hardware or Direct3D configuration is incompatible with this game.\n\nReason:\n";;
"H";"                ";"-----";;"Critical graphic error";;
"I";"                ";"---p-";;"Another process (Steam.exe) has crashed. The game will now exit.";;
"J";"                ";"-----";;"XAudio_2_7.dll is missing";;
"K";"                ";"-----";;"XAudio_2_7.dll is missing, sound will not be available.\nPlease install DirectX June 2010 Redistributable.";;
"L";"                ";"---p-";;"Game did not terminate properly. Do you want to disable all mods to avoid interferences?";;
"M";"                ";"---p-";;"Game needs a GPU supporting at least DirectX 10_1 level feature.\nCheck your GPU capabilities and DirectX version.";;
"BACK";"             ";"-----";;"Backspace";;
"CAPITAL";"          ";"-----";;"Capital";;
"CAPSLOCK";"         ";"-----";;"Caps Lock";;
"DEL";"              ";"-----";;"Delete";;
"DOWN";"             ";"-----";;"Down";;
"END";"              ";"-----";;"End";;
"ENTER";"            ";"-----";;"Return";;
"ESC";"              ";"-----";;"Esc";;
"F1";"               ";"-----";;"F1";;
"F10";"              ";"-----";;"F10";;
"F11";"              ";"-----";;"F11";;
"F12";"              ";"-----";;"F12";;
"F2";"               ";"-----";;"F2";;
"F3";"               ";"-----";;"F3";;
"F4";"               ";"-----";;"F4";;
"F5";"               ";"-----";;"F5";;
"F6";"               ";"-----";;"F6";;
"F7";"               ";"-----";;"F7";;
"F8";"               ";"-----";;"F8";;
"F9";"               ";"-----";;"F9";;
"HOME";"             ";"-----";;"Home";;
"INS";"              ";"-----";;"Insert";;
"LALT";"             ";"-----";;"Alt";;
"LCTRL";"            ";"-----";;"Left Control";;
"LEFT";"             ";"-----";;"Left";;
"LSHIFT";"           ";"-----";;"Left Shift";;
"NUMLOCK";"          ";"-----";;"Num Lock";;
"PAGEDOWN";"         ";"-----";;"Page Down";;
"PAGEUP";"           ";"-----";;"Page Up";;
"PAUSE";"            ";"-----";;"Pause";;
"PRNSCR";"           ";"-----";;"Print Screen";;
"RALT";"             ";"-----";;"AltGr";;
"RCTRL";"            ";"-----";;"Right Control";;
"RIGHT";"            ";"-----";;"Right";;
"RSHIFT";"           ";"-----";;"Right Shift";;
"SCROLL";"           ";"-----";;"Scroll Lock";;
"SPACE";"            ";"-----";;"Space";;
"TAB";"              ";"-----";;"Tab";;
"UP";"               ";"-----";;"Up";;
"1";"                ";"@@@@@";;"Adam";;
"10";"               ";"@@@@@";;"Asselin";;
"100";"              ";"@@@@@";;"Dhaliwal";;
"101";"              ";"@@@@@";;"Dickson";;
"102";"              ";"@@@@@";;"Diefenbaker";;
"103";"              ";"@@@@@";;"Dixon";;
"104";"              ";"@@@@@";;"Doiron";;
"105";"              ";"@@@@@";;"Donnelly";;
"106";"              ";"@@@@@";;"Donovan";;
"107";"              ";"@@@@@";;"Douglas";;
"108";"              ";"@@@@@";;"Doyle";;
"109";"              ";"@@@@@";;"Doyon";;
"11";"               ";"@@@@@";;"Aubin";;
"110";"              ";"@@@@@";;"Drapeau";;
"111";"              ";"@@@@@";;"Drouin";;
"112";"              ";"@@@@@";;"Dubois";;
"113";"              ";"@@@@@";;"Ducharme";;
"114";"              ";"@@@@@";;"Dufour";;
"115";"              ";"@@@@@";;"Dumas";;
"116";"              ";"@@@@@";;"Dumont";;
"117";"              ";"@@@@@";;"Duncan";;
"118";"              ";"@@@@@";;"Dupont";;
"119";"              ";"@@@@@";;"Duquette";;
"12";"               ";"@@@@@";;"Audet";;
"120";"              ";"@@@@@";;"Dussault";;
"121";"              ";"@@@@@";;"Duval";;
"122";"              ";"@@@@@";;"Edwards";;
"123";"              ";"@@@@@";;"Ellis";;
"124";"              ";"@@@@@";;"English";;
"125";"              ";"@@@@@";;"Erickson";;
"126";"              ";"@@@@@";;"Ethier";;
"127";"              ";"@@@@@";;"Evans";;
"128";"              ";"@@@@@";;"Faucher";;
"129";"              ";"@@@@@";;"Ferguson";;
"13";"               ";"@@@@@";;"Austin";;
"130";"              ";"@@@@@";;"Ferland";;
"131";"              ";"@@@@@";;"Ferreira";;
